id,user,name,text,favourite_count,retweet,retweet_count,user_mentions,hashtags,created_at,location
1431001115231850499,altcoinpowa,altcoinpowa,"RT @DogiraOfficial: @VitalikButerin Sir I....

#cryptocurrencies 
#CryptoNews 
#Ethereum https://t.co/MDUHnnTrx0",0,True,2,"[{'screen_name': 'DogiraOfficial', 'name': 'Dogira', 'id': 1375386521075740672, 'id_str': '1375386521075740672', 'indices': [3, 18]}, {'screen_name': 'VitalikButerin', 'name': 'vitalik.eth', 'id': 295218901, 'id_str': '295218901', 'indices': [20, 35]}]","[{'text': 'cryptocurrencies', 'indices': [47, 64]}, {'text': 'CryptoNews', 'indices': [66, 77]}, {'text': 'Ethereum', 'indices': [79, 88]}]",2021-08-26 21:10:27,
1431001079672606726,elliotfeld,elliotfeld,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 21:10:18,
1431001023934517255,mclovintwiter89,Mclovin,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 21:10:05,
1431000999276126210,Mohamme75041857,Mohammed Rakib,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:09:59,
1431000838768529409,Alikhan7722,Ali Khan,"RT @Win_1BTC_Free: #Bitcoin #Ethereum  #dice  #Binance  #cryptocurrencies 
#crash #TRX  #bcgame  #airdrop #rain #rakeback #DOGE
#Crypto #Ca…",0,True,38,"[{'screen_name': 'Win_1BTC_Free', 'name': 'BC Crypto Casino 🏆 Win 1 BTC FREE', 'id': 1361629350215495683, 'id_str': '1361629350215495683', 'indices': [3, 17]}]","[{'text': 'Bitcoin', 'indices': [19, 27]}, {'text': 'Ethereum', 'indices': [28, 37]}, {'text': 'dice', 'indices': [39, 44]}, {'text': 'Binance', 'indices': [46, 54]}, {'text': 'cryptocurrencies', 'indices': [56, 73]}, {'text': 'crash', 'indices': [75, 81]}, {'text': 'TRX', 'indices': [82, 86]}, {'text': 'bcgame', 'indices': [88, 95]}, {'text': 'airdrop', 'indices': [97, 105]}, {'text': 'rain', 'indices': [106, 111]}, {'text': 'rakeback', 'indices': [112, 121]}, {'text': 'DOGE', 'indices': [122, 127]}, {'text': 'Crypto', 'indices': [128, 135]}]",2021-08-26 21:09:21,
1431000664373702668,AlBandit0,Tales From The Crypto,"1 hour left to enter the $5 #Giveaway 🤑

I will use https://t.co/Qcu7ixwMCE to pick a winner🏆

#Crypto #Bitcoin… https://t.co/jP4lji8skL",3,False,2,[],"[{'text': 'Giveaway', 'indices': [28, 37]}, {'text': 'Crypto', 'indices': [95, 102]}, {'text': 'Bitcoin', 'indices': [103, 111]}]",2021-08-26 21:08:39,
1431000649936904198,tron_age,TRON AGE,"Cryptocurrencies Price Prediction: Ethereum, Dogecoin, Shiba &amp; Bitcoin – American Wrap 26 August

#blockchain… https://t.co/JRkYa5WnCn",1,False,0,[],"[{'text': 'blockchain', 'indices': [102, 113]}]",2021-08-26 21:08:36,USA
1431000520156762112,HamZahLiaqat395,Hamzah Liaqat,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:08:05,"پنجاب, پاکستان"
1431000462526803974,DogiraOfficial,Dogira,"@VitalikButerin Sir I....

#cryptocurrencies 
#CryptoNews 
#Ethereum https://t.co/MDUHnnTrx0",6,False,2,"[{'screen_name': 'VitalikButerin', 'name': 'vitalik.eth', 'id': 295218901, 'id_str': '295218901', 'indices': [0, 15]}]","[{'text': 'cryptocurrencies', 'indices': [27, 44]}, {'text': 'CryptoNews', 'indices': [46, 57]}, {'text': 'Ethereum', 'indices': [59, 68]}]",2021-08-26 21:07:51,
1430999854562557953,EAdetayo,emola adetayo,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:05:26,
1430999721892630531,xeransa,Stewart M,RT @Safe_Vault: #VaultEmpire #VaultDefi #Ethereum #SFM #cryptocurrencies #cryptocurrecy #doge #Bitcoin,0,True,6,"[{'screen_name': 'Safe_Vault', 'name': 'SafeVault', 'id': 1415434480131653634, 'id_str': '1415434480131653634', 'indices': [3, 14]}]","[{'text': 'VaultEmpire', 'indices': [16, 28]}, {'text': 'VaultDefi', 'indices': [29, 39]}, {'text': 'Ethereum', 'indices': [40, 49]}, {'text': 'SFM', 'indices': [50, 54]}, {'text': 'cryptocurrencies', 'indices': [55, 72]}, {'text': 'cryptocurrecy', 'indices': [73, 87]}, {'text': 'doge', 'indices': [88, 93]}, {'text': 'Bitcoin', 'indices': [94, 102]}]",2021-08-26 21:04:55,"Scotland, United Kingdom"
1430999207763189767,KoningBeatrix,Koning Beatrix,"RT @TheLTONetwork: The #LTO network has burned over $27.8 Million in $LTO  
Coming up to the 400M remaining tokens milestone!! 

Total burn…",0,True,63,"[{'screen_name': 'TheLTONetwork', 'name': 'LTO Network', 'id': 1350895477135454208, 'id_str': '1350895477135454208', 'indices': [3, 17]}]","[{'text': 'LTO', 'indices': [23, 27]}]",2021-08-26 21:02:52,
